local_x,local_y,global_time,accident,vehicle_id
0,0,1695791018,0,vehicle_1
7.8022710921381035,6.254963293640187,1695791028,0,vehicle_1
20,20,1695791038,0,vehicle_1
30,30,1695791048,0,vehicle_1
38.264882573467624,35.62953959456643,1695791058,0,vehicle_1
50,50,1695791068,0,vehicle_1
57.55148019843064,56.555543212633864,1695791078,0,vehicle_1
70,70,1695791088,0,vehicle_1
77.39267699245842,76.73411663733083,1695791098,0,vehicle_1
90,90,1695791108,0,vehicle_1
97.97649184616273,96.03121694420781,1695791118,0,vehicle_1
110,110,1695791128,0,vehicle_1
118.47053876032851,115.31507037674689,1695791138,0,vehicle_1
130,130,1695791148,0,vehicle_1
137.10263182525057,137.0393622690509,1695791158,0,vehicle_1
147.60587475310757,146.4923546760818,1695791168,0,vehicle_1
157.43565879277588,156.68662682654076,1695791178,0,vehicle_1
170,170,1695791188,0,vehicle_1
178.47020139314048,175.3156079952947,1695791198,0,vehicle_1
187.61280542167432,186.4842265237826,1695791208,0,vehicle_1
194.86004297052304,193.37462186153772,1695791218,0,vehicle_1
210,210,1695791228,0,vehicle_1
220,220,1695791238,0,vehicle_1
230,230,1695791248,0,vehicle_1
238.44481312676356,235.35585018965634,1695791258,0,vehicle_1
250,250,1695791268,0,vehicle_1
258.44551668168714,255.35474070141072,1695791278,0,vehicle_1
268.4615312750259,265.329398510316,1695791288,0,vehicle_1
278.45077402862717,275.3464397796179,1695791298,0,vehicle_1
286.2603822050891,281.59223997896294,1695791308,0,vehicle_1
294.72569619617343,286.9156279069982,1695791318,0,vehicle_1
310,310,1695791328,0,vehicle_1
320,320,1695791338,0,vehicle_1
327.4501188795205,326.6705118754869,1695791348,0,vehicle_1
338.52461120333044,335.227906257007,1695791358,0,vehicle_1
350,350,1695791368,0,vehicle_1
0,0,1695791018,0,vehicle_2
8.178397479096919,5.754460415529955,1695791028,0,vehicle_2
20,20,1695791038,0,vehicle_2
30,30,1695791048,0,vehicle_2
38.44359754368652,35.357766374175995,1695791058,0,vehicle_2
50,50,1695791068,0,vehicle_2
57.58798746170961,56.51325159048365,1695791078,0,vehicle_2
70,70,1695791088,0,vehicle_2
77.89017777649076,76.14370365946888,1695791098,0,vehicle_2
90,90,1695791108,0,vehicle_2
97.64975414501676,96.44059481110239,1695791118,0,vehicle_2
110,110,1695791128,0,vehicle_2
117.28300738511716,116.85257640806208,1695791138,0,vehicle_2
130,130,1695791148,0,vehicle_2
138.48644256105035,135.28964012556554,1695791158,0,vehicle_2
148.45034222349,145.34712224527382,1695791168,0,vehicle_2
158.48576898218477,155.29072062964877,1695791178,0,vehicle_2
170,170,1695791188,0,vehicle_2
177.4313640816792,176.69139954609858,1695791198,0,vehicle_2
188.52533070450644,185.22673285894734,1695791208,0,vehicle_2
